model,accuracy,precision,recall,f1,roc_auc,n_params_or_trees
LogisticRegression,0.6153846153846154,0.65625,0.84,0.7368421052631579,0.5514285714285714,21
DecisionTree,0.6153846153846154,0.6923076923076923,0.72,0.7058823529411765,0.5742857142857143,67
RandomForest,0.5384615384615384,0.6129032258064516,0.76,0.6785714285714286,0.5657142857142857,100
GradientBoosting,0.5384615384615384,0.6296296296296297,0.68,0.6538461538461539,0.5514285714285715,100
