id,name,artist,album,release_date,duration_ms,popularity
6nIE1oCE4udqMGv3bqVNVb,Half a Heart,One Direction,Midnight Memories (Deluxe),2013-11-25,188546,59
1hZk9dktp4yRFTm0TrycuH,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,Native,2014-01-01,214813,59
32HwMdkZuUmHg9uznhs9xM,Loved You First,One Direction,Take Me Home (Expanded Edition),2012-11-12,184306,54
4SRYGZsbHrmH7E9xMVz4Wm,Nobody Compares,One Direction,Take Me Home (Expanded Edition),2012-11-12,211626,56
1NhPKVLsHhFUHIOZ32QnS2,Secrets,OneRepublic,Waking Up,2009-01-01,224693,74
7D49Iig0avHre9RFSUMkd2,I Lived,OneRepublic,Native,2014-01-01,234546,60
0c3yfC8zMRJGvmqphczhZb,Nothing,The Script,Science & Faith,2011-01-18,272213,51
3nqqDo8CcCLke3ZoTgiOKf,The Man Who Can't Be Moved,The Script,The Script,2008-07-14,241373,81
285hMzLhJwHVLe9QT9qilk,Breakeven,The Script,The Script,2008-07-14,261426,78
4IACOiO4fczuCkYFdYxDGu,Six Degrees of Separation,The Script,#3,2012-09-10,232253,40
7HZKksFR5Qsr4XPHAkub32,Millionaires,The Script,#3,2012-09-10,189466,29
1gXBi2I04CLJkTQnhNfEJT,Weight in Gold,Gallant,Ology,2016-04-06,203813,46
1yf97yL1ll8FYXC27c9VTw,Trees,Twenty One Pilots,Vessel,2013-01-08,267386,60
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,Happier Than Ever,2021-07-30,298899,82
43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,196077,83
73SpzrcaHk0RQPFP73vqVR,No Time To Die,Billie Eilish,No Time To Die,2020-02-13,242265,74
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes,Shawn Mendes (Deluxe),2019-06-19,190799,79
138oQeapLds5IeJrdRfeUd,Intro,Shawn Mendes,Wonder,2020-12-04,62422,43
5ld8E3DVBXCCWQ54yrkWVp,305,Shawn Mendes,Wonder,2020-12-04,189072,54
6ZuahEctZD6w75peme58hm,Wonder,Shawn Mendes,Wonder,2020-12-04,172692,68
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,Harry Styles,2017-05-12,340706,80
3AMQKTsIR0ukMOXvPkwaKz,Set Me Free,Joshua Bassett,Crisis / Secret / Set Me Free,2021-12-03,242733,50
61SwOvGpjoANrBOVgBZvMi,SHE SAID HE SAID SHE SAID,Joshua Bassett,SHE SAID HE SAID SHE SAID,2022-10-13,157325,44
77Gfhrr1Uh9Pv57MUUmVuY,Secret,Joshua Bassett,Crisis / Secret / Set Me Free,2021-12-03,192413,50
0JU7KoyKSFgY1zJV2ex6Ee,Feel Something,Joshua Bassett,Feel Something,2021-05-07,163866,44
5qELFdy1PLLinCg5462HES,Finally Free,Joshua Bassett,"High School Musical: The Musical: The Series Season 3 (Episode 1) [From ""High School Musical: The Musical: The Series (Season 3)""]",2022-07-27,197972,42
1mEM6KkVMwpuAuqusCMD6m,Crisis,Joshua Bassett,Crisis / Secret / Set Me Free,2021-12-03,189093,45
3rrv1sQftMszpL7vxLSvX2,Berenstein,The Band CAMINO,Berenstein,2017-12-15,276685,43
48f7LOHWir3VQoO06yoc95,Song About You,The Band CAMINO,The Band CAMINO,2021-09-10,158948,48
7baT4xndV4HMR4fwOdl8vw,Imposter,Grant Ganzer,Imposter,2022-08-12,121463,26
5Ir3dOzPQ9Q30dC45J6QzH,save your breath,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23,165964,48
5odlY52u43F5BjByhxg7wg,golden hour,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23,209259,77
5iscL6Ehw0Ch3B5Rs0KDP1,Clouds,Before You Exit,Clouds,2016-12-14,271846,47
1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,1989,2014-10-27,231826,69
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,Lover,2019-08-23,221306,85
1LLXZFeAHK9R4xUramtUKw,London Boy,Taylor Swift,Lover,2019-08-23,190240,72
43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,Taylor Swift,Lover,2019-08-23,170640,69
59HjlYCeBsxdI0fcm3zglw,Wildest Dreams,Taylor Swift,1989,2014-10-27,220440,65
06WgOCf0LV2h4keYXDRnuh,Clean,Taylor Swift,1989,2014-10-27,271000,41
4dYUOfmWna6DFccnz732n8,How You Get The Girl,Taylor Swift,1989,2014-10-27,247533,42
6d9IiDcFxtFVIvt9pCqyGH,Sparks Fly,Taylor Swift,Speak Now,2010-10-25,260933,52
7hZuICN5eaCuQyp443RCt6,Dear John,Taylor Swift,Speak Now,2010-10-25,403920,44
14LtANuaslKWyYbktUrHBU,Enchanted,Taylor Swift,Speak Now (Deluxe Edition),2010-10-25,352186,44
5L26cBeskObsyfEjioRdiv,Emergency Room(2021),Hwang In Wook,Emergency Room(2021),2021-05-07,243986,34
2ZHH9aoZjrqtFk1SX1dXy7,Moonlight,Ariana Grande,Dangerous Woman,2016-05-20,202360,45
0Rx0DJI556Ix5gBny6EWmn,Paradise,Bazzi,Soul Searching,2019-08-09,169038,68
2zSnnXvex1yMcPUn4mg27H,I Could Write a Book,"Harry Connick, Jr.",When Harry Met Sally... Music From The Motion Picture,1989-07-25,147066,48
0GuVQkXvtQuL6ek7nquHEN,Don't Get Around Much Anymore,"Harry Connick, Jr.",When Harry Met Sally... Music From The Motion Picture,1989-07-25,261200,32
4QIwYqmwtr0hfJktadACK7,A Bird Without Wings,Celtic Thunder,The Show Act Two,2008,240000,0
5zEvD1Tapbd4RAkYmpeTap,The Moon Represents My Heart - 月亮代表我的心,Libera,The Moon Represents My Heart - 月亮代表我的心,2017-10-20,198974,35
1na2MOlie83rN9sTNRuEOj,I Need You,M83,Divergent: Original Motion Picture Soundtrack,2014-01-01,181280,54
5RoIXwyTCdyUjpMMkk4uPd,Sweet Disposition,The Temper Trap,Conditions,2009-03-24,230800,31
0Gl5s8IhMmQE5YQwM8Qx1J,Never Enough,Loren Allred,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,207786,72
11IXRdEjiH0KL8nh4G1j7d,Now We Are Free,Hans Zimmer,Gladiator - Music From The Motion Picture,2000-04-25,254293,54
35uZSnpGVvHbnPMbIxDjLB,Desperado,Celtic Thunder,The Show,2007,215586,0
0S7XIu0dn63ayGxjefd5It,Forbidden Friendship,John Powell,How To Train Your Dragon - Music From The Motion Picture,2010-01-01,251093,54
6eBK3edMW7bEzecF1eCezc,(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,1991-09-24,394133,62
6PJRw5icjh5FnFd7jNUmbG,The Prayer,Céline Dion,These Are Special Times,1998,268933,0
6Up545NUflOiXo8cEraH49,You Say,Lauren Daigle,Look Up Child,2018-09-07,274693,73
1Vk4yRsz0iBzDiZEoFMQyv,Mia & Sebastian’s Theme,Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),2016-12-09,98040,68
1Mv9pebAYnZz3VSKzcMFFM,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Glenn Close,Disney's Greatest Volume 2,2001-01-01,97653,34
2rm72l5pjfby1cWvPMUojI,Go the Distance,Roger Bart,Hercules (Original Motion Picture Soundtrack),1997-01-01,194160,0
6bcCrByBZgx8FYwuKE4Jgu,Far Longer Than Forever,"Liz Callaway, Howard McGillin, David Zippel, Lex de Azevedo, Larry Bastian, Larry Schwartz",The Swan Princess,1994-01-01,144144,47
2wCRJwiL1WSrW0Dwfco7Nj,Know Who You Are,Auli'i Cravalho,Moana - Original Motion Picture Soundtrack/Deluxe Edition,2016-11-18,72626,60
6QWniaitONimLqysaA6cwe,This Is Where I Belong,Bryan Adams,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),2002-05-04,141133,49
5GK4ax71sSIokiNEZsND3d,Sound The Bugle,Bryan Adams,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),2002-05-04,234600,51
6KDH3sCDRFZk71aT3a2lkY,Paperman,Christophe Beck,Paperman,2012-01-01,299493,31
2jz0DAnooOMwtuzboHP3VE,Nothing I've Ever Known,Bryan Adams,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),2002-05-04,232133,45
6ofMKJjMpfDEb48JYEAgjX,Husavik (My Hometown),Will Ferrell,Eurovision Song Contest: The Story of Fire Saga (Music from the Netflix Film),2020-06-26,202286,53
0hkppOIXAfknRGYr34sLgy,I Will Always Return,Bryan Adams,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),2002-05-04,238440,50
4S7ddJ34xx6ZIkQ4a1LDRm,"The Bridge Of Khazad-Dum (From ""The Lord Of The Rings"")",Eurielle,"The Bridge Of Khazad-Dum (From ""The Lord Of The Rings"")",2015-09-18,209454,0
6ua4ZcCoSABREsczFvGLI6,'O Sole Mio - Live,Luciano Pavarotti,Pavarotti & Friends 2,1995-01-01,191506,45
1nHM5nGsbpskmBnZOfxirW,"Forget Me Knots - from ""Spider-Man: No Way Home"" Soundtrack",Michael Giacchino,Spider-Man: No Way Home (Original Motion Picture Soundtrack),2021-12-17,409280,35
2UW59tk0OratchGvwN2uRr,"A Doom With a View - from ""Spider-Man: No Way Home"" Soundtrack",Michael Giacchino,Spider-Man: No Way Home (Original Motion Picture Soundtrack),2021-12-17,120893,28
4A9NGq1VZI3cwalNWZvLVR,Flight into Darkness,Kevin Kiner,Star Wars: Tales of the Jedi (Original Soundtrack),2022-10-26,243724,20
2EBHPEJWmYj4W1HV3l0VZ6,Star Wars (Epic Main Theme),Samuel Kim,Star Wars: The Rise of Skywalker Tribute,2019-10-25,213463,0
732QOzrBUFi0gGWNU9gB7d,Who Am I?,Jamie Foxx,Annie (Original Motion Picture Soundtrack),2014-11-17,200080,46
7hs0pXWvIkYEFeQYfUa42B,"Waloyo Yamoni - ""We Overcome the Wind""",Christopher Tin,The Drop That Contained the Sea,2014-05-08,733306,46
1LNrPxRlSkIROZIZ4ldKoH,Deep Breaths,Austin Farwell,Deep Breaths,2022-03-08,138905,52
3aLbDGVIbZHUDjQXjfrvBP,The City's Yours,Jamie Foxx,Annie (Original Motion Picture Soundtrack),2014-11-17,192133,61
4BrX9il0kSbL8xtlHjQbpP,"Gianni Schicchi: ""O mio Babbino caro""",Giacomo Puccini,Vissi d'Arte - Opera for Orchestra,1997-11-04,243000,38
3kSXn1osC89W8JcPLozTzs,Stand By You,Rachel Platten,Wildfire,2016-01-01,219000,60
46bzMOnJ1anlTrDCGWH30H,Big Dreams,Fernando Velázquez,A Monster Calls (Original Motion Picture Soundtrack),2016-12-09,95280,53
5lb8hYTICPj3WGIiaW1qla,I Wish I Had a Hundred Years,Fernando Velázquez,A Monster Calls (Original Motion Picture Soundtrack),2016-12-09,132840,54
5tgyHc2LLF0BI2udBTMFJz,The Burning Bush,Hans Zimmer,The Prince Of Egypt (Music From The Original Motion Picture Soundtrack),1998-02-11,436666,47
38UEe6tvR5IufCUwFa7tXB,The Long Song,Murray Gold,Doctor Who - Series 7 (Original Television Soundtrack),2013-11-05,218666,0
5lbZL5xmyJHtrrioldEyXX,All I Ever Wanted (With Queen's Reprise),Amick Byram,The Prince Of Egypt (Music From The Original Motion Picture Soundtrack),1998-02-11,171600,47
2ZbnaNF52uSfO4eouvjSrJ,Make Me Whole,"Rob Gardner & London Symphony Orchestra, Linsey Maxson, Bailee Brinkerhoff","Lamb of God: a sacred work for choir, orchestra and soloists",2010-09-10,240746,5
6BOgMI1pVONpiu2xkpMW2i,Consider the Lilies,Roger Hoffman,Consider the Lilies,2003-05-06,331400,0
34IQaMgUdIciIpNWN5CUbl,In The Wee Small Hours Of The Morning,Frank Sinatra,Ultimate Sinatra,2015-04-17,179000,36
4kF394GKEnI13QdZBM9mxM,Misty,Ella Fitzgerald,The Complete Piano Duets,2020-03-13,174066,50
3AAwJ043uT1wXSKDtGyuxF,Misty Mountains,Richard Armitage,The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack),2012-12-11,103024,67
6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran,x - Wembley Edition,2013,258986,67
1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,Ed Sheeran,x - Wembley Edition,2013,281560,63
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,÷ (Deluxe),2017-03-03,263400,85
0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,Ed Sheeran,+,2011-09-09,526386,68
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,Until I Found You,2021-09-01,177720,76
