feature,0,1,2,3,4,5
duration_ms,-0.2376493612430761,-0.42054435647040195,0.8808778286198586,-0.13105633334868289,-1.7358231472430772,-0.036684783631449405
popularity,-0.19774910287268443,0.3176786274270186,-0.0625733992899813,0.15096141911954897,0.11546517534639146,-0.6596337312095338
danceability,-0.5907753403131151,0.6622741978662636,-0.335899394194757,0.6098810940538475,-1.977720362184809,-1.3714909988620654
energy,-0.8190787356581699,0.5465775256414225,-0.4866805070463272,0.8227063370521476,-1.79949807296256,-1.125110542093008
key,0.07515024530696583,0.11577692640283287,-0.06956162509424064,-0.11597000314177897,0.4834085602409247,0.3094905180790583
loudness,-0.46608962499616385,0.4544308998246707,-0.05662947475967967,0.5861593944426663,-3.1094968991810976,-1.9293604303107477
mode,0.35557422789680765,-1.632037712366522,0.10482933697128015,0.465698673235722,-2.1405798664519144,-0.5768127426393327
speechiness,-0.266636023101165,1.2656477384183449,-0.20786859009309056,-0.11317808560075841,-0.5026305074232923,-0.204170257416795
acousticness,0.8403549010276633,-0.6014065109680538,0.500848457539825,-0.8043592766545073,1.5275814158900696,1.062069410915454
instrumentalness,-0.22093708325214903,-0.28448073284930847,-0.24602353144493647,-0.27743835556064933,0.3499893104573307,3.733977060798619
liveness,0.07174588380012897,-0.014269879393014927,-0.07717029077639422,0.037218113192503836,-0.2848212755082963,-0.13726380244560826
valence,-0.5067784692068316,0.7310663334931384,-0.6862847036350536,0.6383610430975079,-0.8917693996937729,-1.0571734054992987
tempo,-0.9287175709330323,0.43556104590463685,0.6026402177394924,0.19205954545601636,-1.0236704483092844,-0.4829507034742318
time_signature,-0.06368312982193955,0.12925507237958098,-0.27473671548597944,0.3884326021796527,-5.707446039568906,-0.29626660712699493
