feature,0,1,2,3,4,5
duration_ms,209693.04225352113,197195.1463414634,286126.1692307692,216976.9406779661,107317.25,223425.7
popularity,49.74647887323944,61.68292682926829,52.87692307692308,57.82203389830509,57.0,39.05
danceability,0.42190140845070423,0.6418048780487805,0.46663076923076924,0.6326101694915254,0.1785,0.28489
energy,0.3064661971830986,0.6246341463414634,0.38390769230769234,0.6889661016949152,0.07805,0.23516750000000003
key,5.591549295774648,5.7317073170731705,5.092307692307692,4.932203389830509,7.0,6.4
loudness,-10.688169014084508,-6.207780487804878,-8.695230769230768,-5.5666271186440675,-23.55425,-17.81025
mode,0.9577464788732394,0.1951219512195122,0.8615384615384616,1.0,0.0,0.6
speechiness,0.0384887323943662,0.11210975609756096,0.04131230769230769,0.04586186440677966,0.02715,0.04149
acousticness,0.7045929577464789,0.21911439024390242,0.5902723076923077,0.1507749152542373,0.9359999999999999,0.77925
instrumentalness,0.019110474647887322,0.0049805100000000005,0.013532094615384615,0.006546497203389831,0.14606525,0.89855
liveness,0.1594887323943662,0.14990243902439024,0.1428923076923077,0.1556406779661017,0.11975,0.136195
valence,0.2484492957746479,0.542,0.20587999999999998,0.5200152542372881,0.15715,0.11792499999999999
tempo,89.3903661971831,132.35221951219512,137.61363076923078,124.68422881355932,86.40025,103.4278
time_signature,3.7746478873239435,3.8780487804878048,3.6615384615384614,4.016949152542373,0.75,3.65
